BRA;2015;CUR6600;C051150;700;10000000;32;4960;BRL;20141208;
BRA;2015;CUR6600;C100560;700;10000000;68;10540;BRL;20141208;
BRA;2015;CUR6600;C100280;700;10000000;88;13640;BRL;20141208;
BRA;2015;CUR6600;C070620;700;10000000;68;10540;BRL;20141208;
BRA;2015;CUR6600;C070080;702;10000000;128;19840;BRL;20141208;
BRA;2015;CUR6600;C080312;700;10000000;68;10540;BRL;20141208;
BRA;2015;CUR6600;C090212;700;10000000;196;30380;BRL;20141208;
BRA;2015;CUR6600;C100040;700;10000000;120;18600;BRL;20141208;
BRA;2015;CUR6600;C060053;700;10000000;48;7440;BRL;20141208;
BRA;2015;CUR6600;C080171;700;10000000;120;18600;BRL;20141208;
BRA;2015;CUR6600;C080042;700;10000000;208;32240;BRL;20141208;
BRA;2015;CUR6600;C080043;700;10000000;88;13640;BRL;20141208;
BRA;2015;CUR6600;C060361;700;10000000;120;18600;BRL;20141208;
BRA;2015;CUR6600;N000021;000;10000000;200;0;BRL;20141208;
BRA;2015;CUR6600;N000020;000;10000000;223;0;BRL;20141208;
BRA;2015;CUR6600;N000022;000;10000000;1092;0;BRL;20141208;
BRA;2015;CUR6600;ZB15BRA002;000;10000000;200;0;BRL;20141208;
BRA;2015;CUR6600;C120841;321;10000000;750;116250;BRL;20141208;
BRA;2015;CUR6600;ZB15BRA001;102;10000001;0;15000;BRL;20141208;
BRA;2015;CUR6600;C130280;102;10000001;0;5000;BRL;20141208;
BRA;2015;CUR6600;C130280;221;10000001;0;15000;BRL;20141208;
BRA;2015;CUR6600;C120810;102;10000001;0;5000;BRL;20141208;
BRA;2015;CUR6600;C120810;321;10000001;0;15000;BRL;20141208;
BRA;2015;CUR6600;C130691;421;10000001;0;15000;BRL;20141208;
BRA;2015;CUR6600;C100555;421;10000001;0;20000;BRL;20141208;
BRA;2015;CUR6600;C100556;421;10000001;0;20000;BRL;20141208;
BRA;2015;CUR6600;C120051;700;10000001;0;5000;BRL;20141208;
BRA;2015;CUR6600;C100480;521;10000001;0;10000;BRL;20141208;
BRA;2015;CUR6600;C060060;700;10000001;0;5000;BRL;20141208;
BRA;2015;CUR6600;C100280;700;10000001;0;5000;BRL;20141208;
BRA;2015;CUR6600;C060053;700;10000001;0;5000;BRL;20141208;
BRA;2015;CUR6600;C080042;700;10000001;0;10000;BRL;20141208;
BRA;2015;CUR6600;C080043;700;10000001;0;5000;BRL;20141208;
BRA;2015;CUR6600;C060361;700;10000001;0;5000;BRL;20141208;
BRA;2015;CUR6600;C051083;421;10000005;0;15000;BRL;20141208;
BRA;2015;CUR6600;C130691;421;10000005;0;20000;BRL;20141208;
BRA;2015;CUR6600;C120602;421;10000005;0;25000;BRL;20141208;
BRA;2015;CUR6600;C120051;700;10000005;0;150000;BRL;20141208;
BRA;2015;CUR6600;C070273;700;10000005;0;100000;BRL;20141208;
BRA;2015;CUR6600;C100480;700;10000005;0;100000;BRL;20141208;
BRA;2015;CUR6600;C080311;700;10000005;0;100000;BRL;20141208;
BRA;2015;CUR6600;C060060;700;10000005;0;100000;BRL;20141208;
BRA;2015;CUR6600;C100560;700;10000005;0;50000;BRL;20141208;
BRA;2015;CUR6600;C100280;700;10000005;0;100000;BRL;20141208;
BRA;2015;CUR6600;C070620;700;10000005;0;50000;BRL;20141208;
BRA;2015;CUR6600;C070080;702;10000005;0;150000;BRL;20141208;
BRA;2015;CUR6600;C010561;700;10000005;0;50000;BRL;20141208;
BRA;2015;CUR6600;C080312;700;10000005;0;50000;BRL;20141208;
BRA;2015;CUR6600;C090212;700;10000005;0;100000;BRL;20141208;
BRA;2015;CUR6600;C100040;700;10000005;0;100000;BRL;20141208;
BRA;2015;CUR6600;C080171;700;10000005;0;100000;BRL;20141208;
BRA;2015;CUR6600;C080042;700;10000005;0;100000;BRL;20141208;
BRA;2015;CUR6600;C080043;700;10000005;0;50000;BRL;20141208;
BRA;2015;CUR6600;C060361;700;10000005;0;150000;BRL;20141208;
BRA;2015;CUR6600;C051083;421;10000002;0;10000;BRL;20141208;
BRA;2015;CUR6600;C130691;421;10000002;0;20000;BRL;20141208;
BRA;2015;CUR6600;C120602;421;10000002;0;15000;BRL;20141208;
BRA;2015;CUR6100;ZB15BRA001;102;10000000;600;93000;BRL;20141208;
BRA;2015;CUR6100;C130280;102;10000000;116;17980;BRL;20141208;
BRA;2015;CUR6100;C130280;231;10000000;600;93000;BRL;20141208;
BRA;2015;CUR6100;C130760;102;10000000;108;16750;BRL;20141208;
BRA;2015;CUR6100;C130760;231;10000000;560;86800;BRL;20141208;
BRA;2015;CUR6100;C120810;102;10000000;116;17980;BRL;20141208;
BRA;2015;CUR6100;C120810;321;10000000;800;124000;BRL;20141208;77647500
BRA;2015;CUR6100;C051083;431;10000000;2110;327050;BRL;20141208;
BRA;2015;CUR6100;C130691;431;10000000;3900;604500;BRL;20141208;
BRA;2015;CUR6100;C100555;431;10000000;2960;458800;BRL;20141208;
BRA;2015;CUR6100;C100556;431;10000000;2960;458800;BRL;20141208;
BRA;2015;CUR6100;C120602;431;10000000;1450;224750;BRL;20141208;
BRA;2015;CUR6100;C120051;700;10000000;272;42160;BRL;20141208;
BRA;2015;CUR6100;C100480;531;10000000;980;151900;BRL;20141208;
BRA;2015;CUR6100;C100480;700;10000000;152;23560;BRL;20141208;
BRA;2015;CUR6100;C010644;700;10000000;64;9920;BRL;20141208;
BRA;2015;CUR6100;C001061;700;10000000;64;9920;BRL;20141208;
BRA;2015;CUR6100;C051472;700;10000000;60;9300;BRL;20141208;
BRA;2015;CUR6100;C010644;701;10000000;60;9300;BRL;20141208;
BRA;2015;CUR6100;C010645;700;10000000;60;9300;BRL;20141208;
BRA;2015;CUR6100;C920633;700;10000000;60;9300;BRL;20141208;
BRA;2015;CUR6100;C060060;700;10000000;288;44640;BRL;20141208;
BRA;2015;CUR6100;C090212;700;10000000;80;12400;BRL;20141208;
