FRA,2015,TCC6501,C010130,700,10000000,61.712,4782.68,EUR,20150522,,,
FRA,2015,TCC6501,C030260,700,10000000,84.64,6559.6,EUR,20150522,,,
FRA,2015,TCC6501,C041010,700,10000000,60.712,4705.18,EUR,20150522,,,
FRA,2015,TCC6501,C051020,700,10000000,355.488,27550.32,EUR,20150522,,,
FRA,2015,TCC6501,C051440,700,10000000,592.48,45917.2,EUR,20150522,,,
FRA,2015,TCC6501,C080050,700,10000000,211.6,16399,EUR,20150522,,,
FRA,2015,TCC6501,C080052,700,10000000,253.92,19678.8,EUR,20150522,,,
FRA,2015,TCC6501,C080390,700,10000000,338.56,26238.4,EUR,20150522,,,
FRA,2015,TCC6501,C090141,700,10000000,509.5328,39488.792,EUR,20150522,,,
FRA,2015,TCC6501,C090143,401,10000000,288,22320,EUR,20150522,,,
FRA,2015,TCC6501,C100510,301,10000000,360,27900,EUR,20150522,,,
FRA,2015,TCC6501,C100512,301,10000000,1440,111600,EUR,20150522,,,
FRA,2015,TCC6501,C100516,301,10000000,1440,111600,EUR,20150522,,,
FRA,2015,TCC6501,C100518,301,10000000,360,27900,EUR,20150522,,,
FRA,2015,TCC6501,C140050,301,10000000,648,50220,EUR,20150522,,,
FRA,2015,TCC6705,C140051,401,10000000,340.2,26365.5,EUR,20150522,,,
FRA,2015,TCC6501,C130030,102,10000000,960,74400,EUR,20150522,,,
FRA,2015,TCC6501,C130700,102,10000000,700,54250,EUR,20150522,,,
FRA,2015,TCC6501,C120520,201,10000000,720,55800,EUR,20150522,,,
FRA,2015,TCC6501,C130691,102,10000000,100,7750,EUR,20150522,,,
FRA,2015,TCC6501,C130030,201,10000000,540,41850,EUR,20150522,,,
FRA,2015,TCC6501,C130700,201,10000000,144,11160,EUR,20150522,,,
FRA,2015,TCC6501,C130691,201,10000000,90,6975,EUR,20150522,,,
FRA,2015,TCC6501,ZB14GMW000,201,10000000,90,6975,EUR,20150522,,,
FRA,2015,TCC6501,C120250,401,10000000,720,55800,EUR,20150522,,,
FRA,2015,TCC6501,C120252,301,10000000,225,17437.5,EUR,20150522,,,
FRA,2015,TCC6500,C051694,700,10000000,677.52,52507.8,EUR,20150522,,,
FRA,2015,TCC6500,C110100,700,10000000,859.096,66579.94,EUR,20150522,,,
FRA,2015,TCC6500,C060060,700,10000000,126.96,9839.4,EUR,20150522,,,
FRA,2015,TCC6500,C060062,700,10000000,42.32,3279.8,EUR,20150522,,,
FRA,2015,TCC6500,C060560,700,10000000,33.856,2623.84,EUR,20150522,,,
FRA,2015,TCC6500,C070373,700,10000000,118.496,9183.44,EUR,20150522,,,
FRA,2015,TCC6500,C080610,700,10000000,211.6,16399,EUR,20150522,,,
FRA,2015,TCC6500,C100641,501,10000000,1243.35,96359.625,EUR,20150522,,,
FRA,2015,TCC6500,C100642,501,10000000,1583.55,122725.125,EUR,20150522,,,
FRA,2015,TCC6500,C110250,501,10000000,706.5,54753.75,EUR,20150522,,,
FRA,2015,TCC6500,C110253,401,10000000,828,64170,EUR,20150522,,,
FRA,2015,TCC6500,C110254,401,10000000,415.8,32224.5,EUR,20150522,,,
FRA,2015,TCC6500,ZB14PVW000,201,10000000,121.5,9416.25,EUR,20150522,,,
