FRA;2016;TCC6503;C120810;301;10000000;94.333;7.861;94.333;94.333;94.333;94.333;94.333;94.333;94.333;94.333;94.333;94.333;7310.83;7310.83;7310.83;7310.83;7310.83;7310.83;7310.83;7310.83;7310.83;7310.83;7310.83;7310.83;EUR;20160522;;;
FRA;2016;TCC6503;C130630;102;10000000;12.500;1.042;12.500;12.500;12.500;12.500;12.500;12.500;12.500;12.500;12.500;12.500;968.75;968.75;968.75;968.75;968.75;968.75;968.75;968.75;968.75;968.75;968.75;968.75;EUR;20160522;;;
FRA;2016;TCC6503;ZB14PCA000;102;10000000;25.000;2.083;25.000;25.000;25.000;25.000;25.000;25.000;25.000;25.000;25.000;25.000;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;EUR;20160522;;;
FRA;2016;TCC6503;C130740;102;10000000;25.000;2.083;25.000;25.000;25.000;25.000;25.000;25.000;25.000;25.000;25.000;25.000;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;EUR;20160522;;;
FRA;2016;TCC6503;ZB14PCA001;102;10000000;12.500;1.042;12.500;12.500;12.500;12.500;12.500;12.500;12.500;12.500;12.500;12.500;968.75;968.75;968.75;968.75;968.75;968.75;968.75;968.75;968.75;968.75;968.75;968.75;EUR;20160522;;;
FRA;2016;TCC6503;ZB14PCA002;102;10000000;20.000;1.667;20.000;20.000;20.000;20.000;20.000;20.000;20.000;20.000;20.000;20.000;1550.00;1550.00;1550.00;1550.00;1550.00;1550.00;1550.00;1550.00;1550.00;1550.00;1550.00;1550.00;EUR;20160522;;;
FRA;2016;TCC6503;C130630;201;10000000;25.000;2.083;25.000;25.000;25.000;25.000;25.000;25.000;25.000;25.000;25.000;25.000;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;EUR;20160522;;;
FRA;2016;TCC6503;ZB14PCA000;201;10000000;8.333;0.694;8.333;8.333;8.333;8.333;8.333;8.333;8.333;8.333;8.333;8.333;645.83;645.83;645.83;645.83;645.83;645.83;645.83;645.83;645.83;645.83;645.83;645.83;EUR;20160522;;;
FRA;2016;TCC6503;C130740;201;10000000;25.000;2.083;25.000;25.000;25.000;25.000;25.000;25.000;25.000;25.000;25.000;25.000;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;1937.50;EUR;20160522;;;
FRA;2016;TCC6503;C130060;201;10000000;93.333;7.778;93.333;93.333;93.333;93.333;93.333;93.333;93.333;93.333;93.333;93.333;7233.33;7233.33;7233.33;7233.33;7233.33;7233.33;7233.33;7233.33;7233.33;7233.33;7233.33;7233.33;EUR;20160522;;;
FRA;2016;TCC6504;C010260;700;10000000;2.821;0.235;2.821;2.821;2.821;2.821;2.821;2.821;2.821;2.821;2.821;2.821;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;EUR;20160522;;;
FRA;2016;TCC6504;C010410;700;10000000;1.411;0.118;1.411;1.411;1.411;1.411;1.411;1.411;1.411;1.411;1.411;1.411;109.33;109.33;109.33;109.33;109.33;109.33;109.33;109.33;109.33;109.33;109.33;109.33;EUR;20160522;;;
FRA;2016;TCC6504;C040020;700;10000000;2.821;0.235;2.821;2.821;2.821;2.821;2.821;2.821;2.821;2.821;2.821;2.821;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;EUR;20160522;;;
FRA;2016;TCC6504;C051080;700;10000000;5.643;0.470;5.643;5.643;5.643;5.643;5.643;5.643;5.643;5.643;5.643;5.643;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;EUR;20160522;;;
FRA;2016;TCC6504;C051160;700;10000000;2.821;0.235;2.821;2.821;2.821;2.821;2.821;2.821;2.821;2.821;2.821;2.821;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;EUR;20160522;;;
FRA;2016;TCC6504;C060701;700;10000000;2.821;0.235;2.821;2.821;2.821;2.821;2.821;2.821;2.821;2.821;2.821;2.821;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;EUR;20160522;;;
FRA;2016;TCC6504;C070150;700;10000000;4.232;0.353;4.232;4.232;4.232;4.232;4.232;4.232;4.232;4.232;4.232;4.232;327.98;327.98;327.98;327.98;327.98;327.98;327.98;327.98;327.98;327.98;327.98;327.98;EUR;20160522;;;
FRA;2016;TCC6504;C080261;700;10000000;2.821;0.235;2.821;2.821;2.821;2.821;2.821;2.821;2.821;2.821;2.821;2.821;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;218.65;EUR;20160522;;;
FRA;2016;TCC6504;C090211;700;10000000;8.464;0.705;8.464;8.464;8.464;8.464;8.464;8.464;8.464;8.464;8.464;8.464;655.96;655.96;655.96;655.96;655.96;655.96;655.96;655.96;655.96;655.96;655.96;655.96;EUR;20160522;;;
FRA;2016;TCC6504;C090212;601;10000000;8.333;0.694;8.333;8.333;8.333;8.333;8.333;8.333;8.333;8.333;8.333;8.333;645.83;645.83;645.83;645.83;645.83;645.83;645.83;645.83;645.83;645.83;645.83;645.83;EUR;20160522;;;
FRA;2016;TCC6504;C090213;601;10000000;2.750;0.229;2.750;2.750;2.750;2.750;2.750;2.750;2.750;2.750;2.750;2.750;213.13;213.13;213.13;213.13;213.13;213.13;213.13;213.13;213.13;213.13;213.13;213.13;EUR;20160522;;;
FRA;2016;TCC6504;C090213;700;10000000;5.643;0.470;5.643;5.643;5.643;5.643;5.643;5.643;5.643;5.643;5.643;5.643;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;EUR;20160522;;;
FRA;2016;TCC6504;C090214;700;10000000;5.643;0.470;5.643;5.643;5.643;5.643;5.643;5.643;5.643;5.643;5.643;5.643;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;EUR;20160522;;;
FRA;2016;TCC6504;C090311;601;10000000;16.667;1.389;16.667;16.667;16.667;16.667;16.667;16.667;16.667;16.667;16.667;16.667;1291.67;1291.67;1291.67;1291.67;1291.67;1291.67;1291.67;1291.67;1291.67;1291.67;1291.67;1291.67;EUR;20160522;;;
FRA;2016;TCC6504;C090311;700;10000000;5.643;0.470;5.643;5.643;5.643;5.643;5.643;5.643;5.643;5.643;5.643;5.643;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;EUR;20160522;;;
FRA;2016;TCC6504;C100090;700;10000000;5.643;0.470;5.643;5.643;5.643;5.643;5.643;5.643;5.643;5.643;5.643;5.643;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;437.31;EUR;20160522;;;
FRA;2016;TCC6504;C100212;401;10000000;50.000;4.167;50.000;50.000;50.000;50.000;50.000;50.000;50.000;50.000;50.000;50.000;3875.00;3875.00;3875.00;3875.00;3875.00;3875.00;3875.00;3875.00;3875.00;3875.00;3875.00;3875.00;EUR;20160522;;;
FRA;2016;TCC6504;C100311;601;10000000;2.500;0.208;2.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500;193.75;193.75;193.75;193.75;193.75;193.75;193.75;193.75;193.75;193.75;193.75;193.75;EUR;20160522;;;
FRA;2016;TCC6504;C100311;700;10000000;11.285;0.940;11.285;11.285;11.285;11.285;11.285;11.285;11.285;11.285;11.285;11.285;874.61;874.61;874.61;874.61;874.61;874.61;874.61;874.61;874.61;874.61;874.61;874.61;EUR;20160522;;;
FRA;2016;TCC6504;C100410;601;10000000;38.333;3.194;38.333;38.333;38.333;38.333;38.333;38.333;38.333;38.333;38.333;38.333;2970.83;2970.83;2970.83;2970.83;2970.83;2970.83;2970.83;2970.83;2970.83;2970.83;2970.83;2970.83;EUR;20160522;;;
FRA;2016;TCC6504;C100410;700;10000000;16.928;1.411;16.928;16.928;16.928;16.928;16.928;16.928;16.928;16.928;16.928;16.928;1311.92;1311.92;1311.92;1311.92;1311.92;1311.92;1311.92;1311.92;1311.92;1311.92;1311.92;1311.92;EUR;20160522;;;
