FRA;2007;1;A71050    ;C041191   ;S09 ;43A71050  ;631360;2;H  ;153.4;EUR;20070727
FRA;2007;1;A71050    ;C041191   ;S09 ;43A71050  ;631360;1;H  ;76.7;EUR;20070727
FRA;2007;1;A71050    ;C041191   ;S09 ;43A71050  ;631360;2;H  ;153.4;EUR;20070727
FRA;2007;1;A71050    ;C041191   ;S09 ;43A71050  ;631360;1;H  ;76.7;EUR;20070727
FRA;2007;1;A71050    ;C041191   ;S09 ;43A71050  ;631360;2;H  ;153.4;EUR;20070727
FRA;2007;1;A71050    ;C041191   ;S09 ;43A71050  ;631360;1;H  ;76.7;EUR;20070727
FRA;2007;1;A71050    ;C041191   ;S09 ;43A71050  ;631797;3;H  ;230.1;EUR;20070727
FRA;2007;1;A71050    ;C041191   ;S09 ;43A71050-2;688549;4;H  ;306.8;EUR;20070727
FRA;2007;1;A71050    ;C051081   ;331;43A71050  ;631360;1;H  ;76.7;EUR;20070727
FRA;2007;1;A71050    ;C051081   ;331;43A71050  ;631360;1;H  ;76.7;EUR;20070727
FRA;2007;1;A71050    ;C962190   ;704;43A71050  ;631360;1;H  ;76.7;EUR;20070727
FRA;2007;1;A71050    ;C962190   ;704;43A71050  ;631360;1.5;H  ;115.05;EUR;20070727
FRA;2007;1;A71050    ;C962190   ;704;43A71050  ;631360;1.5;H  ;115.05;EUR;20070727
FRA;2007;1;A71050    ;C962190   ;704;43A71050  ;631360;1;H  ;76.7;EUR;20070727
FRA;2007;1;A71050    ;C962190   ;704;43A71050  ;631360;1;H  ;76.7;EUR;20070727
FRA;2007;1;A71050    ;C962190   ;704;43A71050  ;631360;1;H  ;76.7;EUR;20070727
FRA;2007;1;A71050    ;C962190   ;704;43A71050  ;631360;1;H  ;76.7;EUR;20070727
FRA;2007;1;A71050    ;C962190   ;704;43A71050  ;631360;1;H  ;76.7;EUR;20070727
FRA;2007;1;A71050    ;C962190   ;704;43A71050-2;688549;2;H  ;153.4;EUR;20070727
FRA;2007;1;C11046A   ;A060049   ;2;6001000000;0;0;   ;18736;EUR;20070727
FRA;2007;1;C11046A   ;A060049   ;2;6141003000;0;0;   ;63.39;EUR;20070727
FRA;2007;1;C11046P   ;A060095   ;0;6141002000;640275;0;   ;368.73;EUR;20070727
FRA;2007;1;C11046C   ;A060096   ;0;6001000000;0;0;   ;152606.25;EUR;20070727
FRA;2007;1;C11046C   ;A070001   ;0;6122001000;0;4;ST ;29.64;EUR;20070727
FRA;2007;1;C11046C   ;A070001   ;0;6122001000;0;1;LE ;13.5;EUR;20070727
