JPN;2012;11;0221;C019924;700;10000000;113;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C019924;700;10000000;268;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C019924;700;10000000;361;0.00;;0.00;JPY;20121107
JPN;2012;11;0240;C019924;700;10000000;221;0.00;;0.00;JPY;20121107
KOR;2012;11;0664;C019924;700;10000000;F0003;0.00;;0.00;KRW;20121107
JPN;2012;11;0210;C019926;700;10000000;322;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C019926;700;10000000;113;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C019926;700;10000000;268;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C019926;700;10000000;0276;0.00;;0.00;JPY;20121107
KOR;2012;11;0661;C021090;700;10000000;92002;0.00;;0.00;KRW;20121107
KOR;2012;11;0661;C021090;700;10000000;K0004;0.00;;0.00;KRW;20121107
KOR;2012;11;0663;C021090;700;10000000;95005;0.00;;0.00;KRW;20121107
JPN;2012;11;0221;C029980;700;10000000;0076;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C029980;700;10000000;113;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C029980;700;10000000;JPN301;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C029980;700;10000000;259;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C029980;700;10000000;9034;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C030210;700;10000000;0076;0.00;;0.00;JPY;20121107
JPN;2012;11;0210;C041050;700;10000000;322;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C041050;700;10000000;113;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C041050;700;10000000;0276;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C041050;700;10000000;259;0.00;;0.00;JPY;20121107
KOR;2012;11;0664;C041220;700;10000000;E0003;0.00;;0.00;KRW;20121107
KOR;2012;11;0650;C041430;701;10000000;K0007;0.00;;0.00;KRW;20121107
JPN;2012;11;0221;C041531;700;10000000;0076;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C041531;700;10000000;113;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C041531;700;10000000;JPN301;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C041531;700;10000000;259;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C041531;700;10000000;9034;0.00;;0.00;JPY;20121107
JPN;2012;11;0231;C041531;700;10000000;205;0.00;;0.00;JPY;20121107
JPN;2012;11;0250;C041531;700;10000000;283;0.00;;0.00;JPY;20121107
JPN;2012;11;0540;C041531;700;10000000;283;0.00;;0.00;JPY;20121107
KOR;2012;11;0664;C041531;700;10000000;20011;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C041531;700;10000000;359;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C041531;700;10000000;F0010;0.00;;0.00;KRW;20121107
JPN;2012;11;0221;C041532;700;10000000;JPN301;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C041532;700;10000000;259;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C041532;700;10000000;9034;0.00;;0.00;JPY;20121107
JPN;2012;11;0250;C041532;700;10000000;283;0.00;;0.00;JPY;20121107
JPN;2012;11;0540;C041532;700;10000000;283;0.00;;0.00;JPY;20121107
KOR;2012;11;0661;C041550;700;10000000;92002;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C041550;700;10000000;F0003;0.00;;0.00;KRW;20121107
KOR;2012;11;0600;C051025;700;10000000;97003;0.00;;0.00;KRW;20121107
KOR;2012;11;0615;C051025;700;10000000;B0001;0.00;;0.00;KRW;20121107
KOR;2012;11;0620;C051025;700;10000000;A0012;0.00;;0.00;KRW;20121107
KOR;2012;11;0620;C051025;700;10000000;C0013;0.00;;0.00;KRW;20121107
KOR;2012;11;0620;C051025;700;10000000;C0014;0.00;;0.00;KRW;20121107
KOR;2012;11;0620;C051025;700;10000000;F0011;0.00;;0.00;KRW;20121107
KOR;2012;11;0650;C051025;700;10000000;C0003;0.00;;0.00;KRW;20121107
KOR;2012;11;0661;C051025;700;10000000;I0003;0.00;;0.00;KRW;20121107
KOR;2012;11;0661;C051025;700;10000000;L0006;0.00;;0.00;KRW;20121107
KOR;2012;11;0663;C051025;700;10000000;95005;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C051025;700;10000000;E0003;0.00;;0.00;KRW;20121107
JPN;2012;11;0221;C051251;700;10000000;0076;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C051251;700;10000000;JPN301;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C051251;700;10000000;9034;0.00;;0.00;JPY;20121107
KOR;2012;11;0620;C051251;700;10000000;C0013;0.00;;0.00;KRW;20121107
JPN;2012;11;0221;C051252;700;10000000;0076;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C051252;700;10000000;113;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C051252;700;10000000;JPN301;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C051252;702;10000000;113;0.00;;0.00;JPY;20121107
KOR;2012;11;0664;C051252;702;10000000;96014;0.00;;0.00;KRW;20121107
KOR;2012;11;0600;C051441;700;10000000;97003;0.00;;0.00;KRW;20121107
KOR;2012;11;0620;C051441;700;10000000;A0012;0.00;;0.00;KRW;20121107
KOR;2012;11;0620;C051441;700;10000000;C0013;0.00;;0.00;KRW;20121107
KOR;2012;11;0620;C051441;700;10000000;C0014;0.00;;0.00;KRW;20121107
KOR;2012;11;0620;C051441;700;10000000;F0011;0.00;;0.00;KRW;20121107
KOR;2012;11;0650;C051441;700;10000000;C0003;0.00;;0.00;KRW;20121107
KOR;2012;11;0661;C051441;700;10000000;I0003;0.00;;0.00;KRW;20121107
KOR;2012;11;0661;C051441;700;10000000;L0006;0.00;;0.00;KRW;20121107
